Word Valence_Mean
inhabitant 5.05
injury 2.49
ink 5.05
innocent 6.51
insane 2.85
insect 4.07
insecure 2.36
insolent 4.35
inspire 6.97
inspired 7.15
insult 2.29
intellect 6.82
intercourse 7.36
interest 6.97
intimate 7.61
intruder 2.77
invader 3.05
invest 5.93
iron 4.90
irritate 3.11
item 5.26
jail 1.95
jealousy 2.51
jelly 5.66
jewel 7.00
joke 8.10
jolly 7.41
journal 5.14
joy 8.60
joyful 8.22
jug 5.24
justice 7.78
kerchief 5.11
kerosene 4.80
ketchup 5.60
kettle 5.22
key 5.68
kick 4.31
kids 6.91
killer 1.89
kind 7.59
kindness 7.82
king 7.26
kiss 8.26
kitten 6.86
knife 3.62
knot 4.64
knowledge 7.58
lake 6.82
lamb 5.89
lamp 5.41
lantern 5.57
laughter 8.45
lavish 6.21
lawn 5.24
lawsuit 3.37
lazy 4.38
leader 7.63
learn 7.15
legend 6.39
leisurely 6.88
leprosy 2.09
lesbian 4.67
letter 6.61
liberty 7.98
lice 2.31
lie 2.79
life 7.27
lightbulb 5.61
lighthouse 5.89
lightning 4.57
limber 5.68
lion 5.57
listless 4.12
lively 7.20
locker 5.19
loneliness 1.61
lonely 2.17
loser 2.25
lost 2.82
lottery 6.57
louse 2.81
love 8.72
loved 8.64
loyal 7.55
lucky 8.17
lump 4.16
luscious 7.50
lust 7.12
luxury 7.88
machine 5.09
mad 2.44
madman 3.91
maggot 2.06
magical 7.46
mail 6.88
malaria 2.40
malice 2.69
man 6.73
mangle 3.90
maniac 3.76
manner 5.64
mantel 4.93
manure 3.10
market 5.66
massacre 2.28
masterful 7.09
masturbate 5.45
material 5.26
measles 2.72
medicine 5.67
meek 3.87
melody 7.07
memories 7.48
memory 6.62
menace 2.88
merry 7.90
messy 3.15
metal 4.95
method 5.56
mighty 6.54
mildew 3.17
milk 5.95
millionaire 8.03
mind 6.68
miracle 8.60
mischief 5.57
misery 1.93
mistake 2.86
mobility 6.83
modest 5.76
mold 3.55
moment 5.76
money 7.59
month 5.15
moody 3.20
moral 6.20
morbid 2.87
morgue 1.92
mosquito 2.80
mother 8.39
mountain 6.59
movie 6.86
mucus 3.34
muddy 4.44
muffin 6.57
murderer 1.53
muscular 6.82
museum 5.54
mushroom 5.78
music 8.13
mutation 3.91
mutilate 1.82
mystic 6.00
naked 6.34
name 5.55
narcotic 4.29
nasty 3.58
natural 6.59
nature 7.65
nectar 6.90
needle 3.82
neglect 2.63
nervous 3.29
neurotic 4.45
news 5.30
nice 6.55
nightmare 1.91
nipple 6.27
noisy 5.02
nonchalant 4.74
nonsense 4.61
noose 3.76
nourish 6.46
nude 6.82
nuisance 3.27
nun 4.93
nurse 6.08
nursery 5.73
obesity 2.73
obey 4.52
obnoxious 3.50
obscene 4.23
obsession 4.52
ocean 7.12
odd 4.82
offend 2.76
office 5.24
opinion 6.28
optimism 6.95
option 6.49
orchestra 6.02
orgasm 8.32
outdoors 7.47
outrage 3.52
outstanding 7.75
overcast 3.65
overwhelmed 4.19
owl 5.80
pain 2.13
paint 5.62
palace 7.19
pamphlet 4.79
pancakes 6.08
panic 3.12
paper 5.20
paradise 8.72
paralysis 1.98
part 5.11
party 7.86
passage 5.28
passion 8.03
pasta 6.69
patent 5.29
patient 5.29
patriot 6.71
peace 7.72
penalty 2.83
pencil 5.22
penis 5.90
penthouse 6.81
people 7.33
perfection 7.25
perfume 6.76
person 6.32
pervert 2.79
pest 3.13
pet 6.79
phase 5.17
pie 6.41
pig 5.07
pillow 7.92
pinch 3.83
pistol 4.20
pity 3.37
pizza 6.65
plain 4.39
plane 6.43
plant 5.98
pleasure 8.28
poetry 5.86
poison 1.98
politeness 7.18
pollute 1.85
poster 5.34
poverty 1.67
power 6.54
powerful 6.84
prairie 5.75
present 6.95
pressure 3.38
prestige 7.26
pretty 7.75
prick 3.98
pride 7.00
priest 6.42
prison 2.05
privacy 5.88
profit 7.63
progress 7.73
promotion 8.20
protected 7.29
proud 8.03
pungent 3.95
punishment 2.22
puppy 7.56
pus 2.86
putrid 2.38
python 4.05
quality 6.25
quarrel 2.93
quart 5.39
queen 6.44
quick 6.64
quiet 5.58
rabbit 6.57
rabies 1.77
radiant 6.73
radiator 4.67
radio 6.73
rage 2.41
rain 5.08
rainbow 8.14
rancid 4.34
rape 1.25
rat 3.02
rattle 5.03
razor 4.81
reach 1
reached 1
reaches 1
reaching 1
red 6.41
refreshment 7.44
regretful 2.28
rejected 1.50
relaxed 7.00
repentant 5.53
reptile 4.77
rescue 7.70
resent 3.76
reserved 4.88
respect 7.64
respectful 7.22
restaurant 6.76
reunion 6.48
reverent 5.35
revolt 4.13
revolver 4.02
reward 7.53
riches 7.70
ridicule 3.13
rifle 4.02
rigid 3.66
riot 2.96
river 6.85
roach 2.35
robber 2.61
rock 5.56
rollercoaster 8.02
romantic 8.32
rotten 2.26
rough 4.74
rude 2.50
runner 5.67
rusty 3.86
sad 1.61
sadden -2
